1000 1000
21 21 20
900 900
371 861 1
556 264 14
861 684 25
280 251 25
85 297 17
394 624 11
50 133 8
261 349 9
416 300 24
583 424 12
380 49 7
255 393 15
88 454 24
364 531 15
847 797 15
214 305 9
541 275 12
645 855 23
825 593 29
391 686 25
690 466 27
343 126 11
122 233 29
512 640 23
420 864 19
99 740 5
779 123 10
363 522 17
218 290 15
741 85 15
864 129 10
488 629 26
437 77 18
590 349 11
222 288 21
626 474 4
403 352 19
611 234 11
134 501 26
811 224 9
808 350 28
745 461 12
750 377 15
570 171 10
363 560 13
603 70 15
202 347 5
78 615 5
221 376 3
207 243 13
98 538 25
605 382 16
150 298 27
149 207 17
503 433 6
346 63 16
251 784 26
266 109 24
329 363 10
593 564 29
175 483 28
129 293 10
648 687 2
789 98 28
495 287 23
72 445 30
463 212 12
395 291 18
840 830 20
776 267 11
535 825 16
396 498 9
516 223 13
669 806 25
100 145 21
317 70 30
314 531 29
831 85 6
679 304 15
89 761 13
335 526 21
247 819 18
414 275 14
869 235 9
123 765 15
144 868 26
586 535 1
852 509 21
403 619 7
565 779 1
45 306 19
853 580 28
64 530 23
457 209 16
759 312 2
362 815 27
785 506 28
479 394 1
747 253 7
442 692 28
